county,year,crop,metric,value
Baringo,2019,maize,area_ha,45171.0
Baringo,2019,maize,production_tons,70810.0
Baringo,2020,maize,area_ha,47437.0
Baringo,2020,maize,production_tons,68374.0
Baringo,2021,maize,area_ha,34709.0
Baringo,2021,maize,production_tons,59169.0
Baringo,2022,maize,area_ha,37894.0
Baringo,2022,maize,production_tons,50820.0
Baringo,2023,maize,area_ha,42501.0
Baringo,2023,maize,production_tons,94877.0
Baringo,2024,maize,area_ha,47457.0
Baringo,2024,maize,production_tons,83958.0
Bomet,2019,maize,area_ha,34476.0
Bomet,2019,maize,production_tons,74728.0
Bomet,2020,maize,area_ha,42763.0
Bomet,2020,maize,production_tons,73610.0
Bomet,2021,maize,area_ha,40480.0
Bomet,2021,maize,production_tons,58685.0
Bomet,2022,maize,area_ha,27597.0
Bomet,2022,maize,production_tons,43287.0
Bomet,2023,maize,area_ha,27250.0
Bomet,2023,maize,production_tons,63230.0
Bomet,2024,maize,area_ha,33491.0
Bomet,2024,maize,production_tons,52714.0
Bungoma,2019,maize,area_ha,94635.0
Bungoma,2019,maize,production_tons,315711.0
Bungoma,2020,maize,area_ha,87960.0
Bungoma,2020,maize,production_tons,317912.0
Bungoma,2021,maize,area_ha,93214.0
Bungoma,2021,maize,production_tons,269443.0
Bungoma,2022,maize,area_ha,92464.0
Bungoma,2022,maize,production_tons,275420.0
Bungoma,2023,maize,area_ha,92847.0
Bungoma,2023,maize,production_tons,222912.0
Bungoma,2024,maize,area_ha,90297.0
Bungoma,2024,maize,production_tons,207846.0
Busia,2019,maize,area_ha,61850.0
Busia,2019,maize,production_tons,67445.0
Busia,2020,maize,area_ha,48150.0
Busia,2020,maize,production_tons,69450.0
Busia,2021,maize,area_ha,33810.0
Busia,2021,maize,production_tons,42028.0
Busia,2022,maize,area_ha,42476.0
Busia,2022,maize,production_tons,64360.0
Busia,2023,maize,area_ha,44097.0
Busia,2023,maize,production_tons,71237.0
Busia,2024,maize,area_ha,44204.0
Busia,2024,maize,production_tons,77934.0
Elgeyo Marakwet,2019,maize,area_ha,31779.0
Elgeyo Marakwet,2019,maize,production_tons,104487.0
Elgeyo Marakwet,2020,maize,area_ha,25856.0
Elgeyo Marakwet,2020,maize,production_tons,87431.0
Elgeyo Marakwet,2021,maize,area_ha,31351.0
Elgeyo Marakwet,2021,maize,production_tons,86007.0
Elgeyo Marakwet,2022,maize,area_ha,31713.0
Elgeyo Marakwet,2022,maize,production_tons,72330.0
Elgeyo Marakwet,2023,maize,area_ha,43133.0
Elgeyo Marakwet,2023,maize,production_tons,150221.0
Elgeyo Marakwet,2024,maize,area_ha,42182.0
Elgeyo Marakwet,2024,maize,production_tons,117786.0
Embu,2019,maize,area_ha,34100.0
Embu,2019,maize,production_tons,28368.0
Embu,2020,maize,area_ha,35130.0
Embu,2020,maize,production_tons,34650.0
Embu,2021,maize,area_ha,35925.0
Embu,2021,maize,production_tons,31378.0
Embu,2022,maize,area_ha,34506.0
Embu,2022,maize,production_tons,10077.0
Embu,2023,maize,area_ha,34500.0
Embu,2023,maize,production_tons,41327.0
Embu,2024,maize,area_ha,34750.0
Embu,2024,maize,production_tons,25659.0
Garissa,2019,maize,area_ha,150.0
Garissa,2019,maize,production_tons,109.0
Garissa,2020,maize,area_ha,238.0
Garissa,2020,maize,production_tons,296.0
Garissa,2021,maize,area_ha,145.0
Garissa,2021,maize,production_tons,71.0
Garissa,2022,maize,area_ha,107.0
Garissa,2022,maize,production_tons,70.0
Garissa,2023,maize,area_ha,142.0
Garissa,2023,maize,production_tons,132.0
Garissa,2024,maize,area_ha,222.0
Garissa,2024,maize,production_tons,382.0
Homa Bay,2019,maize,area_ha,72793.0
Homa Bay,2019,maize,production_tons,102742.0
Homa Bay,2020,maize,area_ha,72097.0
Homa Bay,2020,maize,production_tons,92394.0
Homa Bay,2021,maize,area_ha,79608.0
Homa Bay,2021,maize,production_tons,82278.0
Homa Bay,2022,maize,area_ha,72215.0
Homa Bay,2022,maize,production_tons,86658.0
Homa Bay,2023,maize,area_ha,78795.0
Homa Bay,2023,maize,production_tons,115635.0
Homa Bay,2024,maize,area_ha,89172.0
Homa Bay,2024,maize,production_tons,146866.0
Isiolo,2019,maize,area_ha,530.0
Isiolo,2019,maize,production_tons,749.0
Isiolo,2020,maize,area_ha,586.0
Isiolo,2020,maize,production_tons,42.0
Isiolo,2021,maize,area_ha,147.0
Isiolo,2021,maize,production_tons,139.0
Isiolo,2022,maize,area_ha,129.0
Isiolo,2022,maize,production_tons,94.0
Isiolo,2023,maize,area_ha,256.0
Isiolo,2023,maize,production_tons,176.0
Isiolo,2024,maize,area_ha,288.0
Isiolo,2024,maize,production_tons,576.0
Kajiado,2019,maize,area_ha,17511.0
Kajiado,2019,maize,production_tons,16189.0
Kajiado,2020,maize,area_ha,31384.0
Kajiado,2020,maize,production_tons,15543.0
Kajiado,2021,maize,area_ha,4808.0
Kajiado,2021,maize,production_tons,2864.0
Kajiado,2022,maize,area_ha,32159.0
Kajiado,2022,maize,production_tons,13063.0
Kajiado,2023,maize,area_ha,33241.0
Kajiado,2023,maize,production_tons,40733.0
Kajiado,2024,maize,area_ha,21906.0
Kajiado,2024,maize,production_tons,40573.0
Kakamega,2019,maize,area_ha,95390.0
Kakamega,2019,maize,production_tons,259003.0
Kakamega,2020,maize,area_ha,83773.0
Kakamega,2020,maize,production_tons,226888.0
Kakamega,2021,maize,area_ha,98415.0
Kakamega,2021,maize,production_tons,262506.0
Kakamega,2022,maize,area_ha,100641.0
Kakamega,2022,maize,production_tons,154369.0
Kakamega,2023,maize,area_ha,87532.0
Kakamega,2023,maize,production_tons,132572.0
Kakamega,2024,maize,area_ha,105181.0
Kakamega,2024,maize,production_tons,212753.0
Kericho,2019,maize,area_ha,32050.0
Kericho,2019,maize,production_tons,85815.0
Kericho,2020,maize,area_ha,34397.0
Kericho,2020,maize,production_tons,92731.0
Kericho,2021,maize,area_ha,35068.0
Kericho,2021,maize,production_tons,98746.0
Kericho,2022,maize,area_ha,40530.0
Kericho,2022,maize,production_tons,85975.0
Kericho,2023,maize,area_ha,40643.0
Kericho,2023,maize,production_tons,111130.0
Kericho,2024,maize,area_ha,43908.0
Kericho,2024,maize,production_tons,134358.0
Kiambu,2019,maize,area_ha,31447.0
Kiambu,2019,maize,production_tons,83239.0
Kiambu,2020,maize,area_ha,31528.0
Kiambu,2020,maize,production_tons,43259.0
Kiambu,2021,maize,area_ha,30371.0
Kiambu,2021,maize,production_tons,25563.0
Kiambu,2022,maize,area_ha,29174.0
Kiambu,2022,maize,production_tons,19655.0
Kiambu,2023,maize,area_ha,30537.0
Kiambu,2023,maize,production_tons,29692.0
Kiambu,2024,maize,area_ha,33534.0
Kiambu,2024,maize,production_tons,39471.0
Kilifi,2019,maize,area_ha,72499.0
Kilifi,2019,maize,production_tons,45769.0
Kilifi,2020,maize,area_ha,71782.0
Kilifi,2020,maize,production_tons,44585.0
Kilifi,2021,maize,area_ha,53943.0
Kilifi,2021,maize,production_tons,26176.0
Kilifi,2022,maize,area_ha,72748.0
Kilifi,2022,maize,production_tons,47780.0
Kilifi,2023,maize,area_ha,95674.0
Kilifi,2023,maize,production_tons,81813.0
Kilifi,2024,maize,area_ha,51393.0
Kilifi,2024,maize,production_tons,41907.0
Kirinyaga,2019,maize,area_ha,30406.0
Kirinyaga,2019,maize,production_tons,45036.0
Kirinyaga,2020,maize,area_ha,30505.0
Kirinyaga,2020,maize,production_tons,40281.0
Kirinyaga,2021,maize,area_ha,30373.0
Kirinyaga,2021,maize,production_tons,24388.0
Kirinyaga,2022,maize,area_ha,30503.0
Kirinyaga,2022,maize,production_tons,13547.0
Kirinyaga,2023,maize,area_ha,38467.0
Kirinyaga,2023,maize,production_tons,49692.0
Kirinyaga,2024,maize,area_ha,28228.0
Kirinyaga,2024,maize,production_tons,38468.0
Kisii,2019,maize,area_ha,66625.0
Kisii,2019,maize,production_tons,144480.0
Kisii,2020,maize,area_ha,67286.0
Kisii,2020,maize,production_tons,132790.0
Kisii,2021,maize,area_ha,65876.0
Kisii,2021,maize,production_tons,96249.0
Kisii,2022,maize,area_ha,43735.0
Kisii,2022,maize,production_tons,79671.0
Kisii,2023,maize,area_ha,66221.0
Kisii,2023,maize,production_tons,119244.0
Kisii,2024,maize,area_ha,65900.0
Kisii,2024,maize,production_tons,41087.0
Kisumu,2019,maize,area_ha,50228.0
Kisumu,2019,maize,production_tons,69956.0
Kisumu,2020,maize,area_ha,46307.0
Kisumu,2020,maize,production_tons,67307.0
Kisumu,2021,maize,area_ha,62600.0
Kisumu,2021,maize,production_tons,40990.0
Kisumu,2022,maize,area_ha,54125.0
Kisumu,2022,maize,production_tons,34513.0
