county,year,maize_area_ha,maize_production_tons,beans_area_ha,beans_production_tons,sorghum_area_ha,sorghum_production_tons,green_grams_area_ha,green_grams_production_tons,irish_potatoes_area_ha,irish_potatoes_production_tons,tea_made_tea_kg,tea_green_leaf_tea_kg,coffee_total_area_ha,maize_yield_t_per_ha,beans_yield_t_per_ha,sorghum_yield_t_per_ha,green_grams_yield_t_per_ha,irish_potatoes_yield_t_per_ha,rainfall_mm,avg_temp_c,soil_ph
Baringo,2019,45171.0,70810.0,21020.0,19977.0,1028.0,1209.0,684.0,494.0,3733.0,39084.0,,,,1.5675986805693918,0.9503805899143672,1.1760700389105059,0.7222222222222222,10.469863380658987,1984.53,16.047123287671234,5.4
Baringo,2020,47437.0,68374.0,20914.0,24647.0,1467.0,2261.0,1055.0,980.0,3597.0,39207.0,,,,1.4413643358559773,1.178492875585732,1.5412406271301977,0.9289099526066351,10.899916597164303,2471.95,15.371420765027322,5.4
Baringo,2021,34709.0,59169.0,19669.0,16289.0,1448.0,562.0,659.0,732.0,3363.0,45215.0,,,,1.7047163559883605,0.828155981493721,0.38812154696132595,1.110773899848255,13.444840915848944,1610.9,15.425123287671234,5.4
Baringo,2022,37894.0,50820.0,23804.0,21616.0,1590.0,557.0,739.0,530.0,3504.0,29998.0,,,1215.4,1.341109410460759,0.9080826751806419,0.350314465408805,0.7171853856562923,8.56107305936073,1595.46,15.519945205479452,5.4
Baringo,2023,42501.0,94877.0,23677.0,22501.0,1666.0,1822.0,751.0,901.0,3565.0,37205.0,,,1355.0,2.2323474741770784,0.9503315453815939,1.0936374549819927,1.1997336884154461,10.436185133239832,2202.71,15.881561643835617,5.4
Baringo,2024,47457.0,83958.0,29922.0,26699.0,1750.0,2296.0,1647.0,1733.0,3775.0,42900.0,,,1562.0,1.7691383778999936,0.8922866118574961,1.312,1.0522161505768064,11.364238410596027,2464.54,15.830683060109289,5.4
Bomet,2019,34476.0,74728.0,32273.0,42592.0,1535.0,2959.0,0.0,0.0,4193.0,41468.0,80542972.0,,,2.167536837220095,1.3197409599355499,1.927687296416938,,9.889816360601001,1373.85,18.779424657534246,5.7
Bomet,2020,42763.0,73610.0,30570.0,41923.0,2165.0,4920.0,0.0,0.0,3505.0,35504.0,91506860.0,388904155.0,,1.7213478942076095,1.3713771671573438,2.272517321016166,,10.129529243937233,1827.57,16.909562841530054,5.7
Bomet,2021,40480.0,58685.0,29255.0,28263.0,2046.0,4245.0,0.0,0.0,3526.0,36320.0,92503333.0,393139166.0,,1.4497282608695652,0.9660912664501795,2.0747800586510263,,10.300623936471922,853.45,18.00227397260274,5.7
Bomet,2022,27597.0,43287.0,29891.0,30320.0,1777.0,2138.0,0.0,0.0,6680.0,78135.0,97164045.0,412947191.0,273.0,1.5685400587020328,1.0143521461309424,1.2031513787281936,,11.696856287425149,805.47,18.444219178082193,5.7
Bomet,2023,27250.0,63230.0,12803.0,12377.0,734.0,1148.0,0.0,0.0,3935.0,37383.0,110665892.0,470330041.0,293.0,2.320366972477064,0.9667265484652035,1.564032697547684,,9.50012706480305,894.8,19.012465753424657,5.7
Bomet,2024,33491.0,52714.0,18545.0,13368.0,1333.0,1434.0,0.0,0.0,1950.0,29250.0,115112487.8,489228073.1,304.0,1.5739750977874654,0.720841197088164,1.075768942235559,,15.0,1754.47,17.61655737704918,5.7
Bungoma,2019,94635.0,315711.0,78930.0,56775.0,532.0,800.0,222.0,243.0,3164.0,31643.0,,,,3.336091298145506,0.7193082478145192,1.5037593984962405,1.0945945945945945,10.00094816687737,2316.38,17.52449315068493,5.9
Bungoma,2020,87960.0,317912.0,78644.0,51186.0,599.0,916.0,349.0,339.0,1946.0,19734.0,,,,3.614279217826285,0.650857026600885,1.5292153589315527,0.9713467048710601,10.140801644398767,3451.58,16.69431693989071,5.9
Bungoma,2021,93214.0,269443.0,87218.0,60141.0,510.0,765.0,250.0,258.0,1883.0,24936.0,,,,2.8905851052417018,0.6895480290765668,1.5,1.032,13.242697822623473,1630.65,17.02345205479452,5.9
Bungoma,2022,92464.0,275420.0,87724.0,49948.0,516.0,631.0,165.0,84.0,9436.0,100694.0,,,7725.0,2.9786727807579165,0.5693766814098764,1.2228682170542635,0.509090909090909,10.67125900805426,1917.3799999999999,17.134849315068493,5.9
Bungoma,2023,92847.0,222912.0,63445.0,45073.0,488.0,762.0,237.0,135.0,2153.0,27217.0,,,8098.0,2.4008530162525443,0.7104263535345575,1.5614754098360655,0.569620253164557,12.641430562006503,2274.35,17.420027397260274,5.9
Bungoma,2024,90297.0,207846.0,64096.0,43390.0,516.0,860.0,171.0,194.0,7531.0,73081.0,,,8262.0,2.301804046646068,0.67695332001997,1.6666666666666667,1.1345029239766082,9.704023370070376,2917.31,17.27901639344262,5.9
Busia,2019,61850.0,67445.0,21083.0,21412.0,10318.0,14996.0,245.0,146.0,0.0,0.0,,,,1.0904607922392886,1.0156049898022104,1.4533824384570653,0.5959183673469388,,2356.66,21.952465753424658,5.4
Busia,2020,48150.0,69450.0,31065.0,24034.0,9574.0,11060.0,228.0,97.0,0.0,0.0,,,,1.442367601246106,0.773668115242234,1.1552120325882598,0.42543859649122806,,3194.82,21.243524590163936,5.4
Busia,2021,33810.0,42028.0,22314.0,13349.0,8865.0,5984.0,209.0,90.0,0.0,0.0,,,,1.243064182194617,0.5982342923725016,0.675014100394811,0.430622009569378,,1265.41,21.838794520547946,5.4
