county,year,crop,area_ha,production_tons
Baringo,2019,beans,21020.0,19977.0
Baringo,2020,beans,20914.0,24647.0
Baringo,2021,beans,19669.0,16289.0
Baringo,2022,beans,23804.0,21616.0
Baringo,2023,beans,23677.0,22501.0
Baringo,2024,beans,29922.0,26699.0
Bomet,2019,beans,32273.0,42592.0
Bomet,2020,beans,30570.0,41923.0
Bomet,2021,beans,29255.0,28263.0
Bomet,2022,beans,29891.0,30320.0
Bomet,2023,beans,12803.0,12377.0
Bomet,2024,beans,18545.0,13368.0
Bungoma,2019,beans,78930.0,56775.0
Bungoma,2020,beans,78644.0,51186.0
Bungoma,2021,beans,87218.0,60141.0
Bungoma,2022,beans,87724.0,49948.0
Bungoma,2023,beans,63445.0,45073.0
Bungoma,2024,beans,64096.0,43390.0
Busia,2019,beans,21083.0,21412.0
Busia,2020,beans,31065.0,24034.0
Busia,2021,beans,22314.0,13349.0
Busia,2022,beans,21528.0,16583.0
Busia,2023,beans,23069.0,18090.0
Busia,2024,beans,21160.0,17847.0
Elgeyo Marakwet,2020,beans,19858.0,8856.0
Elgeyo Marakwet,2021,beans,19872.0,7657.0
Elgeyo Marakwet,2022,beans,19540.0,6356.0
Elgeyo Marakwet,2023,beans,25610.0,28578.0
Elgeyo Marakwet,2024,beans,25862.0,15821.0
Embu,2019,beans,22758.0,13402.0
Embu,2020,beans,20376.0,14143.0
Embu,2021,beans,21360.0,13841.0
Embu,2022,beans,21280.0,18151.0
Embu,2023,beans,21380.0,10308.0
Embu,2024,beans,21400.0,6470.0
Homa Bay,2019,beans,48558.0,29696.0
Homa Bay,2020,beans,49900.0,32850.0
Homa Bay,2021,beans,43074.0,30431.0
Homa Bay,2022,beans,38739.0,25436.0
Homa Bay,2023,beans,28052.0,20308.0
Homa Bay,2024,beans,31949.0,28739.0
Isiolo,2019,beans,314.0,79.0
Isiolo,2020,beans,90.0,7.0
Isiolo,2021,beans,155.0,115.0
Isiolo,2022,beans,134.0,74.0
Isiolo,2023,beans,114.0,42.0
Isiolo,2024,beans,150.0,61.0
Kajiado,2019,beans,49621.0,31812.0
Kajiado,2020,beans,49821.0,43846.0
Kajiado,2021,beans,2370.0,1581.0
Kajiado,2022,beans,49930.0,24286.0
Kajiado,2023,beans,47957.0,42525.0
