county,crop_year,crop,total_area_ha
Baringo,2021/22,coffee,1215.4
Baringo,2022/23,coffee,1355.0
Baringo,2023/24,coffee,1562.0
Bomet,2021/22,coffee,273.0
Bomet,2022/23,coffee,293.0
Bomet,2023/24,coffee,304.0
Bungoma,2021/22,coffee,7725.0
Bungoma,2022/23,coffee,8098.0
Bungoma,2023/24,coffee,8262.0
Busia,2021/22,coffee,204.0
Busia,2022/23,coffee,212.0
Busia,2023/24,coffee,103.0
Embu,2021/22,coffee,6881.9
Embu,2022/23,coffee,6888.0
Embu,2023/24,coffee,7078.0
Homa Bay,2021/22,coffee,429.0
Homa Bay,2022/23,coffee,455.0
Homa Bay,2023/24,coffee,464.0
Kajiado,2021/22,coffee,5.4
Kajiado,2022/23,coffee,15.0
Kajiado,2023/24,coffee,17.0
Kakamega,2021/22,coffee,351.0
Kakamega,2022/23,coffee,384.0
Kakamega,2023/24,coffee,400.0
Kericho,2021/22,coffee,4842.0
Kericho,2022/23,coffee,5099.0
Kericho,2023/24,coffee,5457.0
Kiambu,2021/22,coffee,20369.0
Kiambu,2022/23,coffee,20369.0
Kiambu,2023/24,coffee,19746.0
Kirinyaga,2021/22,coffee,10089.1
Kirinyaga,2022/23,coffee,10213.0
Kirinyaga,2023/24,coffee,10412.0
Kisii,2021/22,coffee,4579.0
Kisii,2022/23,coffee,4590.0
Kisii,2023/24,coffee,4683.0
Kisumu,2021/22,coffee,106.0
Kisumu,2022/23,coffee,237.0
Kisumu,2023/24,coffee,250.0
Laikipia,2021/22,coffee,56.4
Laikipia,2022/23,coffee,58.0
Laikipia,2023/24,coffee,77.0
Machakos,2021/22,coffee,8013.0
Machakos,2022/23,coffee,8029.0
Machakos,2023/24,coffee,8098.0
Makueni,2021/22,coffee,1695.0
Makueni,2022/23,coffee,1695.0
Makueni,2023/24,coffee,1841.0
Meru,2021/22,coffee,8708.4
Meru,2022/23,coffee,8787.0
Meru,2023/24,coffee,8995.0
Migori,2021/22,coffee,835.0
Migori,2022/23,coffee,835.0
Migori,2023/24,coffee,857.0
Murang'a,2021/22,coffee,9413.0
Murang'a,2022/23,coffee,9471.0
Murang'a,2023/24,coffee,9321.0
Nakuru,2021/22,coffee,1999.2
Nakuru,2022/23,coffee,2052.0
Nakuru,2023/24,coffee,2097.0
Nandi,2021/22,coffee,1915.0
Nandi,2022/23,coffee,2319.0
Nandi,2023/24,coffee,2486.0
Narok,2021/22,coffee,337.2
Narok,2022/23,coffee,360.0
Narok,2023/24,coffee,377.0
Nyamira,2021/22,coffee,2710.5
Nyamira,2022/23,coffee,2711.0
Nyamira,2023/24,coffee,2781.0
Nyeri,2021/22,coffee,9841.0
Nyeri,2022/23,coffee,9987.0
Nyeri,2023/24,coffee,10016.0
Tharaka Nithi,2021/22,coffee,3680.9
Tharaka Nithi,2022/23,coffee,3741.0
Tharaka Nithi,2023/24,coffee,3858.0
Trans Nzoia,2021/22,coffee,2198.0
Trans Nzoia,2022/23,coffee,2360.0
Trans Nzoia,2023/24,coffee,2406.0
Uasin Gishu,2021/22,coffee,341.0
Uasin Gishu,2022/23,coffee,662.0
Uasin Gishu,2023/24,coffee,723.0
Vihiga,2021/22,coffee,15.0
Vihiga,2022/23,coffee,19.0
Vihiga,2023/24,coffee,20.0
West Pokot,2021/22,coffee,178.0
West Pokot,2022/23,coffee,186.0
West Pokot,2023/24,coffee,207.0
