county,lat,lon
Baringo,-0.1112877,35.7275849
Bomet,-0.7822297,35.3436118
Bungoma,0.7829245,34.7191681
Busia,0.3712048,34.2647952
Elgeyo Marakwet,0.7422191,35.5618083
Embu,-0.1316357,37.3219629
Garissa,-0.5236333,40.3564053
Homa Bay,-0.5639601,34.3187819
Isiolo,0.3338966,37.577027
Kajiado,-2.121717,36.786255
Kakamega,0.4957104,34.8015489
Kakamega/Vihiga,0.4957104,34.8015489
Kericho,-0.3209968,35.2261276
Kiambu,-1.036395,36.8431312
Kilifi,-3.1507392,39.6750716
Kirinyaga,-0.468878,37.3027681
Kisii,-0.7389425,34.7539855
Kisumu,-0.197126,34.7778573
Kitui,-1.5642219,38.3728116
Kwale,-3.7528072,39.1407036
Laikipia,0.2858452,36.8257711
Lamu,-0.4698934,39.6429143
Machakos,-1.2790046,37.3952698
Makueni,-1.7850617,37.6275095
Mandera,3.2285332,40.7056153
Marsabit,2.8579582,37.7154892
Meru,0.2254509,37.7772624
Migori,-1.0192236,34.3095427
Mombasa,-4.0386335,39.6485476
Murang'a,-0.8317087,37.0049216
Nairobi,-1.302398,36.8288509
Nakuru,0.048529,35.7240316
Nandi,0.2253933,35.1244929
Narok,-4.046717,39.6679303
Nyamira,-0.6517907,34.934167
Nyandarua,0.0305369,36.3614224
Nyeri,-0.1316357,37.3219629
Samburu,0.8673914,36.8063815
Siaya,-0.0604013,34.200135
Taita Taveta,-1.1924872,36.9528436
Tana River,-1.5365119,39.5508374
Tharaka Nithi,-0.1316357,37.3219629
Trans Nzoia,1.0454582,34.979044
Trans-Nzoia/Bungoma,1.0454582,34.979044
Turkana,3.186541,35.3031428
Uasin Gishu,0.4771938,35.3050597
Vihiga,0.0819284,34.7084197
Wajir,1.9394402,40.024736
West Pokot,1.2571813,35.0933211
