county,land_classification,area_km2
Baringo,Arid (ASAL core),11075.3
Bomet,Non-ASAL (higher agricultural potential),1997.9
Bungoma,Non-ASAL (higher agricultural potential),2206.9
Busia,Non-ASAL (higher agricultural potential),1628.4
Elgeyo Marakwet,Non-ASAL (higher agricultural potential),3049.7
Embu,Semi-Arid (ASAL),2555.9
Garissa,Arid (ASAL core),45720.2
Homa Bay,Non-ASAL (higher agricultural potential),3154.7
Isiolo,Arid (ASAL core),25336.1
Kajiado,Semi-Arid (ASAL),21292.7
Kakamega,Non-ASAL (higher agricultural potential),3033.8
Kericho,Non-ASAL (higher agricultural potential),2454.5
Kiambu,Non-ASAL (higher agricultural potential),2449.2
Kilifi,Semi-Arid (ASAL),12245.9
Kirinyaga,Non-ASAL (higher agricultural potential),1478.1
Kisii,Non-ASAL (higher agricultural potential),1317.9
Kisumu,Non-ASAL (higher agricultural potential),2009.5
Kitui,Semi-Arid (ASAL),24385.1
Kwale,Semi-Arid (ASAL),8270.3
Laikipia,Semi-Arid (ASAL),8696.1
Lamu,Semi-Arid (ASAL),6497.7
Machakos,Non-ASAL (higher agricultural potential),5952.9
Makueni,Semi-Arid (ASAL),8008.9
Mandera,Arid (ASAL core),25797.7
Marsabit,Arid (ASAL core),66923.1
Meru,Semi-Arid (ASAL),6930.1
Migori,Non-ASAL (higher agricultural potential),2586.4
Mombasa,Non-ASAL (higher agricultural potential),230.0
Murang'a,Non-ASAL (higher agricultural potential),2325.8
Nairobi,Non-ASAL (higher agricultural potential),696.1
Nakuru,Non-ASAL (higher agricultural potential),7509.5
Nandi,Non-ASAL (higher agricultural potential),2884.5
Narok,Semi-Arid (ASAL),17921.2
Nyamira,Non-ASAL (higher agricultural potential),912.5
Nyandarua,Non-ASAL (higher agricultural potential),3107.7
Nyeri,Semi-Arid (ASAL),2361.0
Samburu,Arid (ASAL core),20182.5
Siaya,Non-ASAL (higher agricultural potential),2496.1
Taita Taveta,Semi-Arid (ASAL),17083.9
Tana River,Arid (ASAL core),35375.8
Tharaka Nithi,Semi-Arid (ASAL),2409.5
Trans Nzoia,Non-ASAL (higher agricultural potential),2469.9
Turkana,Arid (ASAL core),71597.8
Uasin Gishu,Non-ASAL (higher agricultural potential),2955.3
Vihiga,Non-ASAL (higher agricultural potential),531.3
Wajir,Arid (ASAL core),55840.6
West Pokot,Semi-Arid (ASAL),8418.2
