county,land_classification,area_km2,land_classification_refined
Baringo,Arid (ASAL core),11075.3,Arid (ASAL core)
Bomet,Non-ASAL (higher agricultural potential),1997.9,Non-ASAL (higher agricultural potential)
Bungoma,Non-ASAL (higher agricultural potential),2206.9,Non-ASAL (higher agricultural potential)
Busia,Non-ASAL (higher agricultural potential),1628.4,Non-ASAL (higher agricultural potential)
Elgeyo Marakwet,Non-ASAL (higher agricultural potential),3049.7,Non-ASAL (higher agricultural potential)
Embu,Semi-Arid (ASAL),2555.9,Semi-Arid (ASAL)
Garissa,Arid (ASAL core),45720.2,Minimal/No Crop Farming (confirmed by production data)
Homa Bay,Non-ASAL (higher agricultural potential),3154.7,Non-ASAL (higher agricultural potential)
Isiolo,Arid (ASAL core),25336.1,Minimal/No Crop Farming (confirmed by production data)
Kajiado,Semi-Arid (ASAL),21292.7,Semi-Arid (ASAL)
Kakamega,Non-ASAL (higher agricultural potential),3033.8,Non-ASAL (higher agricultural potential)
Kericho,Non-ASAL (higher agricultural potential),2454.5,Non-ASAL (higher agricultural potential)
Kiambu,Non-ASAL (higher agricultural potential),2449.2,Non-ASAL (higher agricultural potential)
Kilifi,Semi-Arid (ASAL),12245.9,Semi-Arid (ASAL)
Kirinyaga,Non-ASAL (higher agricultural potential),1478.1,Non-ASAL (higher agricultural potential)
Kisii,Non-ASAL (higher agricultural potential),1317.9,Non-ASAL (higher agricultural potential)
Kisumu,Non-ASAL (higher agricultural potential),2009.5,Non-ASAL (higher agricultural potential)
Kitui,Semi-Arid (ASAL),24385.1,Semi-Arid (ASAL)
Kwale,Semi-Arid (ASAL),8270.3,Semi-Arid (ASAL)
Laikipia,Semi-Arid (ASAL),8696.1,Semi-Arid (ASAL)
Lamu,Semi-Arid (ASAL),6497.7,Semi-Arid (ASAL)
Machakos,Non-ASAL (higher agricultural potential),5952.9,Non-ASAL (higher agricultural potential)
Makueni,Semi-Arid (ASAL),8008.9,Semi-Arid (ASAL)
Mandera,Arid (ASAL core),25797.7,Arid (ASAL core)
Marsabit,Arid (ASAL core),66923.1,Minimal/No Crop Farming (confirmed by production data)
Meru,Semi-Arid (ASAL),6930.1,Semi-Arid (ASAL)
Migori,Non-ASAL (higher agricultural potential),2586.4,Non-ASAL (higher agricultural potential)
Mombasa,Non-ASAL (higher agricultural potential),230.0,Non-ASAL (higher agricultural potential)
Murang'a,Non-ASAL (higher agricultural potential),2325.8,Non-ASAL (higher agricultural potential)
Nairobi,Non-ASAL (higher agricultural potential),696.1,Non-ASAL (higher agricultural potential)
Nakuru,Non-ASAL (higher agricultural potential),7509.5,Non-ASAL (higher agricultural potential)
Nandi,Non-ASAL (higher agricultural potential),2884.5,Non-ASAL (higher agricultural potential)
Narok,Semi-Arid (ASAL),17921.2,Semi-Arid (ASAL)
Nyamira,Non-ASAL (higher agricultural potential),912.5,Non-ASAL (higher agricultural potential)
Nyandarua,Non-ASAL (higher agricultural potential),3107.7,Non-ASAL (higher agricultural potential)
Nyeri,Semi-Arid (ASAL),2361.0,Semi-Arid (ASAL)
Samburu,Arid (ASAL core),20182.5,Arid (ASAL core)
Siaya,Non-ASAL (higher agricultural potential),2496.1,Non-ASAL (higher agricultural potential)
Taita Taveta,Semi-Arid (ASAL),17083.9,Semi-Arid (ASAL)
Tana River,Arid (ASAL core),35375.8,Arid (ASAL core)
Tharaka Nithi,Semi-Arid (ASAL),2409.5,Semi-Arid (ASAL)
Trans Nzoia,Non-ASAL (higher agricultural potential),2469.9,Non-ASAL (higher agricultural potential)
Turkana,Arid (ASAL core),71597.8,Arid (ASAL core)
Uasin Gishu,Non-ASAL (higher agricultural potential),2955.3,Non-ASAL (higher agricultural potential)
Vihiga,Non-ASAL (higher agricultural potential),531.3,Non-ASAL (higher agricultural potential)
Wajir,Arid (ASAL core),55840.6,Minimal/No Crop Farming (confirmed by production data)
West Pokot,Semi-Arid (ASAL),8418.2,Semi-Arid (ASAL)
