county,year,crop,area_ha,production_tons
Baringo,2019,maize,45171.0,70810.0
Baringo,2020,maize,47437.0,68374.0
Baringo,2021,maize,34709.0,59169.0
Baringo,2022,maize,37894.0,50820.0
Baringo,2023,maize,42501.0,94877.0
Baringo,2024,maize,47457.0,83958.0
Bomet,2019,maize,34476.0,74728.0
Bomet,2020,maize,42763.0,73610.0
Bomet,2021,maize,40480.0,58685.0
Bomet,2022,maize,27597.0,43287.0
Bomet,2023,maize,27250.0,63230.0
Bomet,2024,maize,33491.0,52714.0
Bungoma,2019,maize,94635.0,315711.0
Bungoma,2020,maize,87960.0,317912.0
Bungoma,2021,maize,93214.0,269443.0
Bungoma,2022,maize,92464.0,275420.0
Bungoma,2023,maize,92847.0,222912.0
Bungoma,2024,maize,90297.0,207846.0
Busia,2019,maize,61850.0,67445.0
Busia,2020,maize,48150.0,69450.0
Busia,2021,maize,33810.0,42028.0
Busia,2022,maize,42476.0,64360.0
Busia,2023,maize,44097.0,71237.0
Busia,2024,maize,44204.0,77934.0
Elgeyo Marakwet,2019,maize,31779.0,104487.0
Elgeyo Marakwet,2020,maize,25856.0,87431.0
Elgeyo Marakwet,2021,maize,31351.0,86007.0
Elgeyo Marakwet,2022,maize,31713.0,72330.0
Elgeyo Marakwet,2023,maize,43133.0,150221.0
Elgeyo Marakwet,2024,maize,42182.0,117786.0
Embu,2019,maize,34100.0,28368.0
Embu,2020,maize,35130.0,34650.0
Embu,2021,maize,35925.0,31378.0
Embu,2022,maize,34506.0,10077.0
Embu,2023,maize,34500.0,41327.0
Embu,2024,maize,34750.0,25659.0
Garissa,2019,maize,150.0,109.0
Garissa,2020,maize,238.0,296.0
Garissa,2021,maize,145.0,71.0
Garissa,2022,maize,107.0,70.0
Garissa,2023,maize,142.0,132.0
Garissa,2024,maize,222.0,382.0
Homa Bay,2019,maize,72793.0,102742.0
Homa Bay,2020,maize,72097.0,92394.0
Homa Bay,2021,maize,79608.0,82278.0
Homa Bay,2022,maize,72215.0,86658.0
Homa Bay,2023,maize,78795.0,115635.0
Homa Bay,2024,maize,89172.0,146866.0
Isiolo,2019,maize,530.0,749.0
Isiolo,2020,maize,586.0,42.0
Isiolo,2021,maize,147.0,139.0
Isiolo,2022,maize,129.0,94.0
Isiolo,2023,maize,256.0,176.0
Isiolo,2024,maize,288.0,576.0
Kajiado,2019,maize,17511.0,16189.0
Kajiado,2020,maize,31384.0,15543.0
Kajiado,2021,maize,4808.0,2864.0
Kajiado,2022,maize,32159.0,13063.0
Kajiado,2023,maize,33241.0,40733.0
Kajiado,2024,maize,21906.0,40573.0
Kakamega,2019,maize,95390.0,259003.0
Kakamega,2020,maize,83773.0,226888.0
Kakamega,2021,maize,98415.0,262506.0
Kakamega,2022,maize,100641.0,154369.0
Kakamega,2023,maize,87532.0,132572.0
Kakamega,2024,maize,105181.0,212753.0
Kericho,2019,maize,32050.0,85815.0
Kericho,2020,maize,34397.0,92731.0
Kericho,2021,maize,35068.0,98746.0
Kericho,2022,maize,40530.0,85975.0
Kericho,2023,maize,40643.0,111130.0
Kericho,2024,maize,43908.0,134358.0
Kiambu,2019,maize,31447.0,83239.0
Kiambu,2020,maize,31528.0,43259.0
Kiambu,2021,maize,30371.0,25563.0
Kiambu,2022,maize,29174.0,19655.0
Kiambu,2023,maize,30537.0,29692.0
Kiambu,2024,maize,33534.0,39471.0
Kilifi,2019,maize,72499.0,45769.0
Kilifi,2020,maize,71782.0,44585.0
Kilifi,2021,maize,53943.0,26176.0
Kilifi,2022,maize,72748.0,47780.0
Kilifi,2023,maize,95674.0,81813.0
Kilifi,2024,maize,51393.0,41907.0
Kirinyaga,2019,maize,30406.0,45036.0
Kirinyaga,2020,maize,30505.0,40281.0
Kirinyaga,2021,maize,30373.0,24388.0
Kirinyaga,2022,maize,30503.0,13547.0
Kirinyaga,2023,maize,38467.0,49692.0
Kirinyaga,2024,maize,28228.0,38468.0
Kisii,2019,maize,66625.0,144480.0
Kisii,2020,maize,67286.0,132790.0
Kisii,2021,maize,65876.0,96249.0
Kisii,2022,maize,43735.0,79671.0
Kisii,2023,maize,66221.0,119244.0
Kisii,2024,maize,65900.0,41087.0
Kisumu,2019,maize,50228.0,69956.0
Kisumu,2020,maize,46307.0,67307.0
Kisumu,2021,maize,62600.0,40990.0
Kisumu,2022,maize,54125.0,34513.0
Kisumu,2023,maize,62195.0,105003.0
Kisumu,2024,maize,48400.0,58657.0
Kitui,2019,maize,76901.0,98046.0
Kitui,2020,maize,87252.0,27960.0
