county,soil_ph
Baringo,5.4
Bomet,5.7
Bungoma,5.9
Busia,5.4
Elgeyo Marakwet,5.9
Embu,6.0
Garissa,7.5
Homa Bay,6.6
Isiolo,7.2
Kajiado,6.5
Kakamega,5.6
Kakamega/Vihiga,5.6
Kericho,5.7
Kiambu,5.8
Kilifi,6.8
Kirinyaga,5.5
Kisii,5.4
Kisumu,6.3
Kitui,6.5
Kwale,6.5
Laikipia,6.8
Lamu,7.3
Machakos,6.0
Makueni,5.9
Mandera,7.2
Marsabit,7.5
Meru,6.6
Migori,6.4
Mombasa,6.4
Murang'a,5.5
Nairobi,7.0
Nakuru,6.2
Nandi,5.4
Narok,6.6
Nyamira,5.3
Nyandarua,6.0
Nyeri,6.0
Samburu,6.9
Siaya,6.5
Taita Taveta,6.4
Tana River,6.9
Tharaka Nithi,6.0
Trans Nzoia,5.9
Trans-Nzoia/Bungoma,5.9
Turkana,8.0
Uasin Gishu,5.5
Vihiga,5.5
Wajir,7.7
West Pokot,6.1
