county,year,crop,made_tea_kg,green_leaf_tea_kg
Bomet,2019,tea,80542972.0,
Bomet,2020,tea,91506860.0,388904155.0
Bomet,2021,tea,92503333.0,393139166.0
Bomet,2022,tea,97164045.0,412947191.0
Bomet,2023,tea,110665892.0,470330041.0
Bomet,2024,tea,115112487.8,489228073.1
Elgeyo Marakwet,2020,tea,1258509.0,5348663.0
Elgeyo Marakwet,2021,tea,2532537.0,10763282.0
Elgeyo Marakwet,2022,tea,2352684.0,9998907.0
Elgeyo Marakwet,2023,tea,2062108.0,8763959.0
Elgeyo Marakwet,2024,tea,953060.0,4050505.0
Embu,2019,tea,11957213.0,
Embu,2020,tea,14764654.0,62749779.0
Embu,2021,tea,12459102.0,52951182.0
Embu,2022,tea,12574749.0,53442682.0
Embu,2023,tea,13150541.0,55889799.0
Embu,2024,tea,13751303.7,58443040.8
Kakamega,2020,tea,,14119034.0
Kakamega,2021,tea,,10899848.0
Kakamega,2022,tea,,9018857.0
Kakamega,2023,tea,,10411841.0
Kakamega,2024,tea,,13562992.4
Kakamega/Vihiga,2019,tea,3549444.0,
Kakamega/Vihiga,2020,tea,3322126.0,
Kakamega/Vihiga,2021,tea,2564670.0,
Kakamega/Vihiga,2022,tea,2122084.0,
Kakamega/Vihiga,2023,tea,2449845.0,
Kakamega/Vihiga,2024,tea,3191292.3,
Kericho,2019,tea,85540642.0,
Kericho,2020,tea,102580820.0,435968487.0
Kericho,2021,tea,102421046.0,435289445.0
Kericho,2022,tea,101868782.0,432942324.0
Kericho,2023,tea,104846091.0,445595887.0
Kericho,2024,tea,105842845.0,449832091.1
Kiambu,2019,tea,38109742.0,
Kiambu,2020,tea,47998529.0,203993750.0
Kiambu,2021,tea,41439513.0,176117931.0
Kiambu,2022,tea,39427425.0,167566554.0
Kiambu,2023,tea,38992088.0,165716372.0
Kiambu,2024,tea,42699819.8,181474234.3
Kirinyaga,2019,tea,17941192.0,
Kirinyaga,2020,tea,22592750.0,96019187.0
Kirinyaga,2021,tea,20775793.0,88297120.0
Kirinyaga,2022,tea,18223513.0,77449931.0
Kirinyaga,2023,tea,20928919.0,88947907.0
Kirinyaga,2024,tea,22645841.6,96244826.8
Kisii,2019,tea,19794854.0,
Kisii,2020,tea,23630551.0,100429842.0
Kisii,2021,tea,18594477.0,79026525.0
Kisii,2022,tea,19867507.0,84436904.0
Kisii,2023,tea,18607195.0,79080581.0
Kisii,2024,tea,24009924.7,102042179.8
Meru,2019,tea,27367857.0,
Meru,2020,tea,32158861.0,136675160.0
Meru,2021,tea,29489388.0,125329901.0
Meru,2022,tea,31756603.0,134965561.0
Meru,2023,tea,32776592.0,139300516.0
Meru,2024,tea,31048824.4,131957503.7
Muranga,2019,tea,42371117.0,
Muranga,2020,tea,53666315.0,228081839.0
Muranga,2021,tea,48806191.0,207426312.0
Muranga,2022,tea,47471194.0,201752575.0
Muranga,2023,tea,47260212.0,200855899.0
Muranga,2024,tea,51062213.4,217014406.9
Nakuru,2019,tea,4004614.0,
Nakuru,2020,tea,5128681.0,21796894.0
Nakuru,2021,tea,5294344.0,22500962.0
Nakuru,2022,tea,7942148.0,33754129.0
Nakuru,2023,tea,8499321.0,36122114.0
Nakuru,2024,tea,7408918.0,31487901.5
Nandi,2019,tea,67006156.0,
Nandi,2020,tea,92700447.0,393976902.0
Nandi,2021,tea,89577980.0,380706414.0
Nandi,2022,tea,87013756.0,369808464.0
Nandi,2023,tea,97681320.0,415145611.0
Nandi,2024,tea,108843413.4,462584506.8
Narok,2020,tea,3237154.0,13757905.0
Narok,2021,tea,3157342.0,13418704.0
Narok,2022,tea,3109657.0,13216042.0
Narok,2023,tea,3748278.0,15930182.0
Narok,2024,tea,3383666.0,14380580.5
Nyamira,2019,tea,33487196.0,
Nyamira,2020,tea,41461354.0,176210755.0
Nyamira,2021,tea,38882810.0,165251944.0
Nyamira,2022,tea,37842685.0,160831410.0
Nyamira,2023,tea,39302809.0,167036937.0
Nyamira,2024,tea,37030717.0,157380547.1
Nyeri,2019,tea,19235307.0,
Nyeri,2020,tea,24860707.0,105658005.0
Nyeri,2021,tea,22522871.0,95722202.0
Nyeri,2022,tea,19313744.0,82083412.0
Nyeri,2023,tea,21669900.0,92097075.0
Nyeri,2024,tea,24347629.0,103477423.3
Tharaka - Nithi,2019,tea,4232604.0,
Tharaka - Nithi,2020,tea,5012526.0,21303236.0
Tharaka - Nithi,2021,tea,4106309.0,17451813.0
Tharaka - Nithi,2022,tea,4416613.0,18770605.0
Tharaka - Nithi,2023,tea,4658970.0,19800623.0
Tharaka - Nithi,2024,tea,4859909.0,20654613.3
Trans-Nzoia,2020,tea,,15532186.0
Trans-Nzoia,2021,tea,,11496816.0
Trans-Nzoia,2022,tea,,10950158.0
Trans-Nzoia,2023,tea,,12580413.0
Trans-Nzoia,2024,tea,,9714904.4
Trans-Nzoia/Bungoma,2019,tea,3712039.0,
Trans-Nzoia/Bungoma,2020,tea,3654632.0,
Trans-Nzoia/Bungoma,2021,tea,2705133.0,
Trans-Nzoia/Bungoma,2022,tea,2576508.0,
Trans-Nzoia/Bungoma,2023,tea,2960097.0,
Trans-Nzoia/Bungoma,2024,tea,2285859.9,
