year,rainfall_mm,avg_temp_c,county
2019,1984.53,16.047123287671234,Baringo
2020,2471.95,15.371420765027322,Baringo
2021,1610.9,15.425123287671234,Baringo
2022,1595.46,15.519945205479452,Baringo
2023,2202.71,15.881561643835617,Baringo
2024,2464.54,15.830683060109289,Baringo
2019,1373.85,18.779424657534246,Bomet
2020,1827.57,16.909562841530054,Bomet
2021,853.45,18.00227397260274,Bomet
2022,805.47,18.444219178082193,Bomet
2023,894.8,19.012465753424657,Bomet
2024,1754.47,17.61655737704918,Bomet
2019,2316.38,17.52449315068493,Bungoma
2020,3451.58,16.69431693989071,Bungoma
2021,1630.65,17.02345205479452,Bungoma
2022,1917.3799999999999,17.134849315068493,Bungoma
2023,2274.35,17.420027397260274,Bungoma
2024,2917.31,17.27901639344262,Bungoma
2019,2356.66,21.952465753424658,Busia
2020,3194.82,21.243524590163936,Busia
2021,1265.41,21.838794520547946,Busia
2022,1603.98,22.233780821917808,Busia
2023,2247.55,22.401999999999997,Busia
2024,2042.27,22.200573770491804,Busia
2019,1700.04,19.715150684931505,Elgeyo Marakwet
2020,2371.42,18.528032786885248,Elgeyo Marakwet
2021,1503.76,18.920136986301372,Elgeyo Marakwet
2022,1518.89,19.219205479452054,Elgeyo Marakwet
2023,2012.75,19.322027397260275,Elgeyo Marakwet
2024,2069.99,19.07953551912568,Elgeyo Marakwet
2019,1318.96,18.155123287671234,Embu
2020,1528.69,17.095437158469945,Embu
2021,1112.43,17.46712328767123,Embu
2022,1631.46,16.771753424657533,Embu
2023,1765.62,17.371780821917806,Embu
2024,1944.99,17.39912568306011,Embu
2019,960.3,28.20397260273973,Garissa
2020,745.71,27.859043715846994,Garissa
2021,605.56,28.14454794520548,Garissa
2022,711.96,27.911780821917805,Garissa
2023,1257.48,27.672520547945204,Garissa
2024,553.59,28.629398907103827,Garissa
2019,2315.97,23.889342465753426,Homa Bay
2020,2383.98,23.191530054644808,Homa Bay
2021,1998.62,23.735698630136987,Homa Bay
2022,1830.1,23.37994520547945,Homa Bay
2023,3034.65,23.906712328767124,Homa Bay
2024,2383.8,24.037868852459017,Homa Bay
2019,820.77,23.700383561643832,Isiolo
2020,1068.22,22.784344262295082,Isiolo
2021,696.48,23.19150684931507,Isiolo
2022,943.54,22.57156164383562,Isiolo
2023,1025.49,23.02172602739726,Isiolo
2024,1229.85,23.032677595628414,Isiolo
2019,612.25,21.20035616438356,Kajiado
2020,783.85,20.314398907103826,Kajiado
2021,462.8,20.69123287671233,Kajiado
2022,385.75,20.673506849315068,Kajiado
2023,717.2,20.713643835616438,Kajiado
2024,677.34,21.114781420765027,Kajiado
2019,2667.79,19.253643835616437,Kakamega
2020,3457.72,18.41655737704918,Kakamega
2021,1792.03,18.7153698630137,Kakamega
2022,2004.64,18.875479452054794,Kakamega
2023,2518.62,19.151534246575345,Kakamega
2024,2945.95,19.014098360655737,Kakamega
2019,2667.79,19.253643835616437,Kakamega/Vihiga
2020,3457.72,18.41655737704918,Kakamega/Vihiga
2021,1792.03,18.7153698630137,Kakamega/Vihiga
2022,2004.64,18.875479452054794,Kakamega/Vihiga
2023,2518.62,19.151534246575345,Kakamega/Vihiga
2024,2945.95,19.014098360655737,Kakamega/Vihiga
2019,2668.85,20.31772602739726,Kericho
2020,3088.7599999999998,19.567049180327867,Kericho
2021,2000.8,19.95194520547945,Kericho
2022,1880.69,19.823616438356165,Kericho
2023,3064.59,20.238246575342465,Kericho
2024,2975.64,20.182377049180328,Kericho
2019,738.74,19.523671232876712,Kiambu
2020,1017.42,18.562131147540985,Kiambu
2021,601.18,19.021095890410958,Kiambu
2022,477.37,19.06986301369863,Kiambu
2023,809.61,19.244164383561642,Kiambu
2024,878.58,19.287322404371583,Kiambu
2019,1186.16,26.598657534246577,Kilifi
2020,1026.45,25.789180327868852,Kilifi
2021,704.07,26.508383561643836,Kilifi
2022,804.57,26.33849315068493,Kilifi
2023,1497.52,26.17468493150685,Kilifi
2024,820.3100000000001,26.53502732240437,Kilifi
2019,1153.5,21.037945205479453,Kirinyaga
2020,1365.57,19.889098360655737,Kirinyaga
2021,945.8,20.375041095890413,Kirinyaga
2022,994.01,20.235479452054793,Kirinyaga
2023,1358.19,20.476109589041094,Kirinyaga
2024,1593.21,20.336557377049182,Kirinyaga
2019,2668.85,20.31772602739726,Kisii
2020,3088.7599999999998,19.567049180327867,Kisii
2021,2000.8,19.95194520547945,Kisii
2022,1880.69,19.823616438356165,Kisii
2023,3064.59,20.238246575342465,Kisii
2024,2975.64,20.182377049180328,Kisii
2019,2950.71,20.627972602739725,Kisumu
2020,3399.84,19.99292349726776,Kisumu
2021,2044.98,20.310438356164386,Kisumu
2022,2193.93,20.244876712328768,Kisumu
2023,3175.23,20.590520547945207,Kisumu
2024,3042.9900000000002,20.590081967213116,Kisumu
2019,709.3100000000001,24.410931506849316,Kitui
2020,656.2,23.67756830601093,Kitui
2021,498.25,23.844904109589038,Kitui
2022,421.51,23.891342465753425,Kitui
2023,848.94,23.82887671232877,Kitui
2024,570.53,24.33912568306011,Kitui
2019,1480.41,26.176356164383563,Kwale
2020,1094.21,25.740901639344262,Kwale
2021,753.73,26.25805479452055,Kwale
2022,1022.05,25.983999999999998,Kwale
2023,1871.67,25.764849315068492,Kwale
2024,1045.17,26.201120218579238,Kwale
2019,711.73,20.76213698630137,Laikipia
2020,1098.03,19.783551912568306,Laikipia
2021,528.99,20.311013698630138,Laikipia
2022,616.88,20.024,Laikipia
2023,699.39,20.49295890410959,Laikipia
2024,1047.46,20.162185792349725,Laikipia
2019,734.4,28.11101369863014,Lamu
2020,577.17,27.56672131147541,Lamu
2021,517.03,27.83871232876712,Lamu
2022,475.09,27.586136986301373,Lamu
2023,866.68,27.545205479452054,Lamu
2024,433.33,28.418387978142075,Lamu
2019,714.27,21.75408219178082,Machakos
2020,844.38,20.955792349726774,Machakos
2021,543.43,21.166027397260276,Machakos
2022,452.47,21.190383561643834,Machakos
2023,777.42,21.284931506849315,Machakos
2024,714.98,21.660765027322405,Machakos
2019,684.12,22.30964383561644,Makueni
2020,775.94,21.581775956284154,Makueni
2021,487.76,21.79764383561644,Makueni
2022,426.52,21.740602739726025,Makueni
2023,829.91,21.768986301369864,Makueni
2024,661.29,22.271830601092894,Makueni
2019,602.33,27.313917808219177,Mandera
2020,675.3100000000001,27.29248633879781,Mandera
2021,875.5600000000001,27.102657534246575,Mandera
2022,551.08,26.604684931506846,Mandera
2023,1092.54,26.5093698630137,Mandera
2024,505.87,27.77166666666667,Mandera
2019,264.28,29.639589041095892,Marsabit
2020,461.1,29.000519125683063,Marsabit
2021,353.4,28.896465753424653,Marsabit
2022,144.29,28.985506849315065,Marsabit
2023,311.9,29.03767123287671,Marsabit
2024,442.81,29.615546448087436,Marsabit
2019,1318.96,18.155123287671234,Meru
2020,1528.69,17.095437158469945,Meru
2021,1112.43,17.46712328767123,Meru
2022,1631.46,16.771753424657533,Meru
2023,1765.62,17.371780821917806,Meru
2024,1944.99,17.39912568306011,Meru
2019,1813.16,22.574164383561644,Migori
2020,2271.0,21.29743169398907,Migori
2021,1460.65,21.977780821917808,Migori
2022,1324.02,22.00731506849315,Migori
2023,2036.24,22.353890410958904,Migori
2024,1816.38,22.27363387978142,Migori
2019,1480.41,26.176356164383563,Mombasa
2020,1094.21,25.740901639344262,Mombasa
2021,753.73,26.25805479452055,Mombasa
2022,1022.05,25.983999999999998,Mombasa
2023,1871.67,25.764849315068492,Mombasa
2024,1045.17,26.201120218579238,Mombasa
2019,738.74,19.523671232876712,Murang'a
2020,1017.42,18.562131147540985,Murang'a
2021,601.18,19.021095890410958,Murang'a
2022,477.37,19.06986301369863,Murang'a
2023,809.61,19.244164383561642,Murang'a
2024,878.58,19.287322404371583,Murang'a
2019,530.91,20.767260273972603,Nairobi
2020,787.36,19.910218579234975,Nairobi
2021,430.85,20.2846301369863,Nairobi
2022,333.93,20.33539726027397,Nairobi
2023,482.2,20.584876712328768,Nairobi
2024,675.42,20.625792349726776,Nairobi
2019,1984.53,16.047123287671234,Nakuru
2020,2471.95,15.371420765027322,Nakuru
2021,1610.9,15.425123287671234,Nakuru
2022,1595.46,15.519945205479452,Nakuru
2023,2202.71,15.881561643835617,Nakuru
2024,2464.54,15.830683060109289,Nakuru
2019,2950.71,20.627972602739725,Nandi
2020,3399.84,19.99292349726776,Nandi
2021,2044.98,20.310438356164386,Nandi
2022,2193.93,20.244876712328768,Nandi
2023,3175.23,20.590520547945207,Nandi
2024,3042.9900000000002,20.590081967213116,Nandi
2019,1480.41,26.176356164383563,Narok
2020,1094.21,25.740901639344262,Narok
2021,753.73,26.25805479452055,Narok
2022,1022.05,25.983999999999998,Narok
2023,1871.67,25.764849315068492,Narok
